sentence,classification,prev2,prev1,next1,next2
"And Bill 1694 communication from Jake Pollack, Director of the Office of Management and Budget, submitting a donation to the Department of Public Safety from Pittsburgh Cultural Trust for the purchase of smoke detectors to be given to city residents in the amount not to exceed 500.",i,And now we have three communications.,"Councilman R Daniel Lavelle also presents Bill 1693 communication from Jake Pollack, Director of Office of Management and Budget, submitting to City Council the attached status update from the Grants Office for the week ended March 28th 2025.","And Bill 1697 communication from Sushila, Executive Director of the Urban Redevelopment Authority of Pittsburgh, submitting the Affordable Housing Bond 2024 Annual Performance Report dated March 28th 2025.","We need a motion to read, receive and file, So moved."
"And Bill 1697 communication from Sushila, Executive Director of the Urban Redevelopment Authority of Pittsburgh, submitting the Affordable Housing Bond 2024 Annual Performance Report dated March 28th 2025.",i,"Councilman R Daniel Lavelle also presents Bill 1693 communication from Jake Pollack, Director of Office of Management and Budget, submitting to City Council the attached status update from the Grants Office for the week ended March 28th 2025.","And Bill 1694 communication from Jake Pollack, Director of the Office of Management and Budget, submitting a donation to the Department of Public Safety from Pittsburgh Cultural Trust for the purchase of smoke detectors to be given to city residents in the amount not to exceed 500.","We need a motion to read, receive and file, So moved.","Second, All those in favor say aye, Aye."
"We need a motion to read, receive and file, So moved.",i,"And Bill 1694 communication from Jake Pollack, Director of the Office of Management and Budget, submitting a donation to the Department of Public Safety from Pittsburgh Cultural Trust for the purchase of smoke detectors to be given to city residents in the amount not to exceed 500.","And Bill 1697 communication from Sushila, Executive Director of the Urban Redevelopment Authority of Pittsburgh, submitting the Affordable Housing Bond 2024 Annual Performance Report dated March 28th 2025.","Second, All those in favor say aye, Aye.","All bids have been read, received and filed."
"Second, All those in favor say aye, Aye.",i,"And Bill 1697 communication from Sushila, Executive Director of the Urban Redevelopment Authority of Pittsburgh, submitting the Affordable Housing Bond 2024 Annual Performance Report dated March 28th 2025.","We need a motion to read, receive and file, So moved.","All bids have been read, received and filed.","That takes us to the reports of Committee for Final Action, beginning with Councilwoman Erica Strasburg representing the City Council Representative Committee of Finance and Law."
"All bids have been read, received and filed.",i,"We need a motion to read, receive and file, So moved.","Second, All those in favor say aye, Aye.","That takes us to the reports of Committee for Final Action, beginning with Councilwoman Erica Strasburg representing the City Council Representative Committee of Finance and Law.","Thank you, Mr President."
"That takes us to the reports of Committee for Final Action, beginning with Councilwoman Erica Strasburg representing the City Council Representative Committee of Finance and Law.",b,"Second, All those in favor say aye, Aye.","All bids have been read, received and filed.","Thank you, Mr President.","Councilperson Erica Strasburg presents Bill 1677 Report of the Committee on Finance and Law for March 26th 2025, with an affirmative recommendation."
"Thank you, Mr President.",b,"All bids have been read, received and filed.","That takes us to the reports of Committee for Final Action, beginning with Councilwoman Erica Strasburg representing the City Council Representative Committee of Finance and Law.","Councilperson Erica Strasburg presents Bill 1677 Report of the Committee on Finance and Law for March 26th 2025, with an affirmative recommendation.","Bill 1639 resolution amending Resolution Number 564 of 2024 which authorized 36 open-end professional services agreements with multiple vendors to provide professional services on an on-call basis as required, related to various professional services as needed by the various departments of the City of Pittsburgh, each agreement being at an amount not to exceed 1,500,000 annually for a three-year term and providing for funding of the cost to the city of Pittsburgh."
"Councilperson Erica Strasburg presents Bill 1677 Report of the Committee on Finance and Law for March 26th 2025, with an affirmative recommendation.",b,"That takes us to the reports of Committee for Final Action, beginning with Councilwoman Erica Strasburg representing the City Council Representative Committee of Finance and Law.","Thank you, Mr President.","Bill 1639 resolution amending Resolution Number 564 of 2024 which authorized 36 open-end professional services agreements with multiple vendors to provide professional services on an on-call basis as required, related to various professional services as needed by the various departments of the City of Pittsburgh, each agreement being at an amount not to exceed 1,500,000 annually for a three-year term and providing for funding of the cost to the city of Pittsburgh.","Thank you, Thank you As of this Board meeting."
"Bill 1639 resolution amending Resolution Number 564 of 2024 which authorized 36 open-end professional services agreements with multiple vendors to provide professional services on an on-call basis as required, related to various professional services as needed by the various departments of the City of Pittsburgh, each agreement being at an amount not to exceed 1,500,000 annually for a three-year term and providing for funding of the cost to the city of Pittsburgh.",b,"Thank you, Mr President.","Councilperson Erica Strasburg presents Bill 1677 Report of the Committee on Finance and Law for March 26th 2025, with an affirmative recommendation.","Thank you, Thank you As of this Board meeting.","london leader rainy, addition of 713 for most 9,000 hereby to the Committee answered the bill."
"Thank you, Thank you As of this Board meeting.",i,"Councilperson Erica Strasburg presents Bill 1677 Report of the Committee on Finance and Law for March 26th 2025, with an affirmative recommendation.","Bill 1639 resolution amending Resolution Number 564 of 2024 which authorized 36 open-end professional services agreements with multiple vendors to provide professional services on an on-call basis as required, related to various professional services as needed by the various departments of the City of Pittsburgh, each agreement being at an amount not to exceed 1,500,000 annually for a three-year term and providing for funding of the cost to the city of Pittsburgh.","london leader rainy, addition of 713 for most 9,000 hereby to the Committee answered the bill.",All bids have been read and received.
"london leader rainy, addition of 713 for most 9,000 hereby to the Committee answered the bill.",i,"Bill 1639 resolution amending Resolution Number 564 of 2024 which authorized 36 open-end professional services agreements with multiple vendors to provide professional services on an on-call basis as required, related to various professional services as needed by the various departments of the City of Pittsburgh, each agreement being at an amount not to exceed 1,500,000 annually for a three-year term and providing for funding of the cost to the city of Pittsburgh.","Thank you, Thank you As of this Board meeting.",All bids have been read and received.,"like a final comment from jo Stevenson, The stuff in this Bell Formula was approved by Councilman Achilles, later Whoops Forest City, and by resolution 11-B and by consent of the mettre of Monsignor Jack Gettij."
All bids have been read and received.,b,"Thank you, Thank you As of this Board meeting.","london leader rainy, addition of 713 for most 9,000 hereby to the Committee answered the bill.","like a final comment from jo Stevenson, The stuff in this Bell Formula was approved by Councilman Achilles, later Whoops Forest City, and by resolution 11-B and by consent of the mettre of Monsignor Jack Gettij.","Finally, I would like to Privilege of this Bill omitted gemeinships, verbal confiscation and the of the stem out of list contract which would go over House flashcards of anger and Live samoa list of disse."
"like a final comment from jo Stevenson, The stuff in this Bell Formula was approved by Councilman Achilles, later Whoops Forest City, and by resolution 11-B and by consent of the mettre of Monsignor Jack Gettij.",p,"london leader rainy, addition of 713 for most 9,000 hereby to the Committee answered the bill.",All bids have been read and received.,"Finally, I would like to Privilege of this Bill omitted gemeinships, verbal confiscation and the of the stem out of list contract which would go over House flashcards of anger and Live samoa list of disse.","criticize That snacking that over fz 1, the Mi proposal of 177 are entitled to free or be the gifts which we are display, related to various professional services as needed by the various departments of the City of Pittsburgh, each agreement being at an amount not to exceed 750,000 annually for a three-year term and providing for funding of the cost thereof by authorizing 56 additional open-end professional services agreements with multiple vendors for same various professional services."
"Finally, I would like to Privilege of this Bill omitted gemeinships, verbal confiscation and the of the stem out of list contract which would go over House flashcards of anger and Live samoa list of disse.",i,All bids have been read and received.,"like a final comment from jo Stevenson, The stuff in this Bell Formula was approved by Councilman Achilles, later Whoops Forest City, and by resolution 11-B and by consent of the mettre of Monsignor Jack Gettij.","criticize That snacking that over fz 1, the Mi proposal of 177 are entitled to free or be the gifts which we are display, related to various professional services as needed by the various departments of the City of Pittsburgh, each agreement being at an amount not to exceed 750,000 annually for a three-year term and providing for funding of the cost thereof by authorizing 56 additional open-end professional services agreements with multiple vendors for same various professional services.",You've heard the reading and title of the bill.
"criticize That snacking that over fz 1, the Mi proposal of 177 are entitled to free or be the gifts which we are display, related to various professional services as needed by the various departments of the City of Pittsburgh, each agreement being at an amount not to exceed 750,000 annually for a three-year term and providing for funding of the cost thereof by authorizing 56 additional open-end professional services agreements with multiple vendors for same various professional services.",b,"like a final comment from jo Stevenson, The stuff in this Bell Formula was approved by Councilman Achilles, later Whoops Forest City, and by resolution 11-B and by consent of the mettre of Monsignor Jack Gettij.","Finally, I would like to Privilege of this Bill omitted gemeinships, verbal confiscation and the of the stem out of list contract which would go over House flashcards of anger and Live samoa list of disse.",You've heard the reading and title of the bill.,Is there any discussion?
You've heard the reading and title of the bill.,b,"Finally, I would like to Privilege of this Bill omitted gemeinships, verbal confiscation and the of the stem out of list contract which would go over House flashcards of anger and Live samoa list of disse.","criticize That snacking that over fz 1, the Mi proposal of 177 are entitled to free or be the gifts which we are display, related to various professional services as needed by the various departments of the City of Pittsburgh, each agreement being at an amount not to exceed 750,000 annually for a three-year term and providing for funding of the cost thereof by authorizing 56 additional open-end professional services agreements with multiple vendors for same various professional services.",Is there any discussion?,"Seeing none, the bill is now ready for final action."
Is there any discussion?,b,"criticize That snacking that over fz 1, the Mi proposal of 177 are entitled to free or be the gifts which we are display, related to various professional services as needed by the various departments of the City of Pittsburgh, each agreement being at an amount not to exceed 750,000 annually for a three-year term and providing for funding of the cost thereof by authorizing 56 additional open-end professional services agreements with multiple vendors for same various professional services.",You've heard the reading and title of the bill.,"Seeing none, the bill is now ready for final action.",All in favor of the passage of the bill will vote aye when the name is called.
"Seeing none, the bill is now ready for final action.",i,You've heard the reading and title of the bill.,Is there any discussion?,All in favor of the passage of the bill will vote aye when the name is called.,Those opposed will vote no.
All in favor of the passage of the bill will vote aye when the name is called.,i,Is there any discussion?,"Seeing none, the bill is now ready for final action.",Those opposed will vote no.,Will the clerk please take the roll?
Those opposed will vote no.,i,"Seeing none, the bill is now ready for final action.",All in favor of the passage of the bill will vote aye when the name is called.,Will the clerk please take the roll?,Mr Sharlin: Aye.
Will the clerk please take the roll?,i,All in favor of the passage of the bill will vote aye when the name is called.,Those opposed will vote no.,Mr Sharlin: Aye.,Mr Coghill: Aye.
Mr Sharlin: Aye.,i,Those opposed will vote no.,Will the clerk please take the roll?,Mr Coghill: Aye.,Ms Gross: Aye.
Mr Coghill: Aye.,i,Will the clerk please take the roll?,Mr Sharlin: Aye.,Ms Gross: Aye.,Mr Mosley: Aye.
Ms Gross: Aye.,i,Mr Sharlin: Aye.,Mr Coghill: Aye.,Mr Mosley: Aye.,Mrs Strasburger: Aye.
Mr Mosley: Aye.,i,Mr Coghill: Aye.,Ms Gross: Aye.,Mrs Strasburger: Aye.,Mrs Warwick: Aye.
Mrs Strasburger: Aye.,i,Ms Gross: Aye.,Mr Mosley: Aye.,Mrs Warwick: Aye.,Mr Wilson: Aye.
Mrs Warwick: Aye.,i,Mr Mosley: Aye.,Mrs Strasburger: Aye.,Mr Wilson: Aye.,"Mr LaValle-President: Aye, Eight ayes."
Mr Wilson: Aye.,i,Mrs Strasburger: Aye.,Mrs Warwick: Aye.,"Mr LaValle-President: Aye, Eight ayes.",The bill has received a legal card.
"Mr LaValle-President: Aye, Eight ayes.",i,Mrs Warwick: Aye.,Mr Wilson: Aye.,The bill has received a legal card.,number of votes.
The bill has received a legal card.,i,Mr Wilson: Aye.,"Mr LaValle-President: Aye, Eight ayes.",number of votes.,"It is passed, finally."
number of votes.,i,"Mr LaValle-President: Aye, Eight ayes.",The bill has received a legal card.,"It is passed, finally.",That takes us to Councilwoman Barbara Warwick presenting the Committee of Public Works and Infrastructure.
"It is passed, finally.",i,The bill has received a legal card.,number of votes.,That takes us to Councilwoman Barbara Warwick presenting the Committee of Public Works and Infrastructure.,"Thank you, Mr President."
That takes us to Councilwoman Barbara Warwick presenting the Committee of Public Works and Infrastructure.,b,number of votes.,"It is passed, finally.","Thank you, Mr President.","Councilwoman Barbara Warwick presents Bill 1678 Report of the Committee on Public Works and Infrastructure for March 26th 2025, with an affirmative recommendation."
"Thank you, Mr President.",b,"It is passed, finally.",That takes us to Councilwoman Barbara Warwick presenting the Committee of Public Works and Infrastructure.,"Councilwoman Barbara Warwick presents Bill 1678 Report of the Committee on Public Works and Infrastructure for March 26th 2025, with an affirmative recommendation.","Bill 1641 resolution providing for the issuance of a warrant in favor of Cannon Tools for the purchase of one MaxScan tool used to repair DPW vehicles in the amount of 13,499."
"Councilwoman Barbara Warwick presents Bill 1678 Report of the Committee on Public Works and Infrastructure for March 26th 2025, with an affirmative recommendation.",b,That takes us to Councilwoman Barbara Warwick presenting the Committee of Public Works and Infrastructure.,"Thank you, Mr President.","Bill 1641 resolution providing for the issuance of a warrant in favor of Cannon Tools for the purchase of one MaxScan tool used to repair DPW vehicles in the amount of 13,499.","98 over one year In Bill 1664 resolution providing for the issuance of a warrant in favor of United Rentals in the amount of 35,025 for the purchase of portable restroom rentals and servicing throughout the city's parks system at various locations, and providing for the payment of the cost thereof."
"Bill 1641 resolution providing for the issuance of a warrant in favor of Cannon Tools for the purchase of one MaxScan tool used to repair DPW vehicles in the amount of 13,499.",i,"Thank you, Mr President.","Councilwoman Barbara Warwick presents Bill 1678 Report of the Committee on Public Works and Infrastructure for March 26th 2025, with an affirmative recommendation.","98 over one year In Bill 1664 resolution providing for the issuance of a warrant in favor of United Rentals in the amount of 35,025 for the purchase of portable restroom rentals and servicing throughout the city's parks system at various locations, and providing for the payment of the cost thereof.",You have heard the reading inside the bill.
"98 over one year In Bill 1664 resolution providing for the issuance of a warrant in favor of United Rentals in the amount of 35,025 for the purchase of portable restroom rentals and servicing throughout the city's parks system at various locations, and providing for the payment of the cost thereof.",i,"Councilwoman Barbara Warwick presents Bill 1678 Report of the Committee on Public Works and Infrastructure for March 26th 2025, with an affirmative recommendation.","Bill 1641 resolution providing for the issuance of a warrant in favor of Cannon Tools for the purchase of one MaxScan tool used to repair DPW vehicles in the amount of 13,499.",You have heard the reading inside the bill.,Is there any discussion?
You have heard the reading inside the bill.,i,"Bill 1641 resolution providing for the issuance of a warrant in favor of Cannon Tools for the purchase of one MaxScan tool used to repair DPW vehicles in the amount of 13,499.","98 over one year In Bill 1664 resolution providing for the issuance of a warrant in favor of United Rentals in the amount of 35,025 for the purchase of portable restroom rentals and servicing throughout the city's parks system at various locations, and providing for the payment of the cost thereof.",Is there any discussion?,Seeing none.
Is there any discussion?,b,"98 over one year In Bill 1664 resolution providing for the issuance of a warrant in favor of United Rentals in the amount of 35,025 for the purchase of portable restroom rentals and servicing throughout the city's parks system at various locations, and providing for the payment of the cost thereof.",You have heard the reading inside the bill.,Seeing none.,the bill is now ready for final action.
Seeing none.,i,You have heard the reading inside the bill.,Is there any discussion?,the bill is now ready for final action.,All in favor to pass through the bill?
the bill is now ready for final action.,b,Is there any discussion?,Seeing none.,All in favor to pass through the bill?,vote aye.
All in favor to pass through the bill?,b,Seeing none.,the bill is now ready for final action.,vote aye.,when her name is called.
vote aye.,i,the bill is now ready for final action.,All in favor to pass through the bill?,when her name is called.,Those opposed will vote no.
when her name is called.,i,All in favor to pass through the bill?,vote aye.,Those opposed will vote no.,Will the clerk please take the roll?
Those opposed will vote no.,i,vote aye.,when her name is called.,Will the clerk please take the roll?,Mr Sharland: Aye.
Will the clerk please take the roll?,i,when her name is called.,Those opposed will vote no.,Mr Sharland: Aye.,Mr Coghill: Aye.
Mr Sharland: Aye.,i,Those opposed will vote no.,Will the clerk please take the roll?,Mr Coghill: Aye.,Ms Gross: Aye.
Mr Coghill: Aye.,i,Will the clerk please take the roll?,Mr Sharland: Aye.,Ms Gross: Aye.,Mr Mosley: Aye.
Ms Gross: Aye.,i,Mr Sharland: Aye.,Mr Coghill: Aye.,Mr Mosley: Aye.,Mrs Strasburger: Aye.
Mr Mosley: Aye.,i,Mr Coghill: Aye.,Ms Gross: Aye.,Mrs Strasburger: Aye.,Mrs Warwick: Aye.
Mrs Strasburger: Aye.,i,Ms Gross: Aye.,Mr Mosley: Aye.,Mrs Warwick: Aye.,Mr Wilson: Aye.
Mrs Warwick: Aye.,i,Mr Mosley: Aye.,Mrs Strasburger: Aye.,Mr Wilson: Aye.,"Mr LaValle-President: Aye, Eight ayes."
Mr Wilson: Aye.,i,Mrs Strasburger: Aye.,Mrs Warwick: Aye.,"Mr LaValle-President: Aye, Eight ayes.","The bill, having received the lead by a number of votes, is passed finally, And that takes us to Councilwoman Deborah Gross presenting the Committee of Innovation, Performance, Asset Management and Technology."
"Mr LaValle-President: Aye, Eight ayes.",i,Mrs Warwick: Aye.,Mr Wilson: Aye.,"The bill, having received the lead by a number of votes, is passed finally, And that takes us to Councilwoman Deborah Gross presenting the Committee of Innovation, Performance, Asset Management and Technology.","Thank you, Mr President."
"The bill, having received the lead by a number of votes, is passed finally, And that takes us to Councilwoman Deborah Gross presenting the Committee of Innovation, Performance, Asset Management and Technology.",b,Mr Wilson: Aye.,"Mr LaValle-President: Aye, Eight ayes.","Thank you, Mr President.","Thank you, Councilwoman Deborah L Gross presents Bill 1679 report of the Committee on Innovation, Performance, Asset Management and Technology for March 26, 2025, with an affirmative recommendation."
"Thank you, Mr President.",b,"Mr LaValle-President: Aye, Eight ayes.","The bill, having received the lead by a number of votes, is passed finally, And that takes us to Councilwoman Deborah Gross presenting the Committee of Innovation, Performance, Asset Management and Technology.","Thank you, Councilwoman Deborah L Gross presents Bill 1679 report of the Committee on Innovation, Performance, Asset Management and Technology for March 26, 2025, with an affirmative recommendation.",Bill 1635 resolution authorizing the Mayor and the City Solicitor to enter into a professional service agreement or agreements with SciComm Data Systems Inc.
"Thank you, Councilwoman Deborah L Gross presents Bill 1679 report of the Committee on Innovation, Performance, Asset Management and Technology for March 26, 2025, with an affirmative recommendation.",b,"The bill, having received the lead by a number of votes, is passed finally, And that takes us to Councilwoman Deborah Gross presenting the Committee of Innovation, Performance, Asset Management and Technology.","Thank you, Mr President.",Bill 1635 resolution authorizing the Mayor and the City Solicitor to enter into a professional service agreement or agreements with SciComm Data Systems Inc.,"for computer services relating to continuing maintenance, support and upgrades to City law, the Department of Law's current legal case management and administrative support software system for an amount not to exceed 11,424 over one year."
Bill 1635 resolution authorizing the Mayor and the City Solicitor to enter into a professional service agreement or agreements with SciComm Data Systems Inc.,b,"Thank you, Mr President.","Thank you, Councilwoman Deborah L Gross presents Bill 1679 report of the Committee on Innovation, Performance, Asset Management and Technology for March 26, 2025, with an affirmative recommendation.","for computer services relating to continuing maintenance, support and upgrades to City law, the Department of Law's current legal case management and administrative support software system for an amount not to exceed 11,424 over one year.",You have heard the reading and title of the bill.
"for computer services relating to continuing maintenance, support and upgrades to City law, the Department of Law's current legal case management and administrative support software system for an amount not to exceed 11,424 over one year.",i,"Thank you, Councilwoman Deborah L Gross presents Bill 1679 report of the Committee on Innovation, Performance, Asset Management and Technology for March 26, 2025, with an affirmative recommendation.",Bill 1635 resolution authorizing the Mayor and the City Solicitor to enter into a professional service agreement or agreements with SciComm Data Systems Inc.,You have heard the reading and title of the bill.,Is there any discussion?
You have heard the reading and title of the bill.,b,Bill 1635 resolution authorizing the Mayor and the City Solicitor to enter into a professional service agreement or agreements with SciComm Data Systems Inc.,"for computer services relating to continuing maintenance, support and upgrades to City law, the Department of Law's current legal case management and administrative support software system for an amount not to exceed 11,424 over one year.",Is there any discussion?,"If none, the bill is now ready for final action."
Is there any discussion?,b,"for computer services relating to continuing maintenance, support and upgrades to City law, the Department of Law's current legal case management and administrative support software system for an amount not to exceed 11,424 over one year.",You have heard the reading and title of the bill.,"If none, the bill is now ready for final action.",All in favor to pass the bill?
"If none, the bill is now ready for final action.",i,You have heard the reading and title of the bill.,Is there any discussion?,All in favor to pass the bill?,vote aye When her name is called.
All in favor to pass the bill?,i,Is there any discussion?,"If none, the bill is now ready for final action.",vote aye When her name is called.,those opposed will vote no.
vote aye When her name is called.,i,"If none, the bill is now ready for final action.",All in favor to pass the bill?,those opposed will vote no.,Will the clerk please take the roll?
those opposed will vote no.,i,All in favor to pass the bill?,vote aye When her name is called.,Will the clerk please take the roll?,"Mr Sharlin, Aye Mr Coghill."
Will the clerk please take the roll?,i,vote aye When her name is called.,those opposed will vote no.,"Mr Sharlin, Aye Mr Coghill.",Aye Ms Gross.
"Mr Sharlin, Aye Mr Coghill.",i,those opposed will vote no.,Will the clerk please take the roll?,Aye Ms Gross.,Aye Mr Mosley.
Aye Ms Gross.,i,Will the clerk please take the roll?,"Mr Sharlin, Aye Mr Coghill.",Aye Mr Mosley.,Aye Ms Strasburger.
Aye Mr Mosley.,i,"Mr Sharlin, Aye Mr Coghill.",Aye Ms Gross.,Aye Ms Strasburger.,Aye Mrs Warwick.
Aye Ms Strasburger.,i,Aye Ms Gross.,Aye Mr Mosley.,Aye Mrs Warwick.,"Aye Mr Wilson, Aye Mr LaValle."
Aye Mrs Warwick.,i,Aye Mr Mosley.,Aye Ms Strasburger.,"Aye Mr Wilson, Aye Mr LaValle.","President, Aye Eight ayes."
"Aye Mr Wilson, Aye Mr LaValle.",i,Aye Ms Strasburger.,Aye Mrs Warwick.,"President, Aye Eight ayes.","The bill, having received a leading part of the votes, is passed."
"President, Aye Eight ayes.",i,Aye Mrs Warwick.,"Aye Mr Wilson, Aye Mr LaValle.","The bill, having received a leading part of the votes, is passed.","finally And finally, Councilman Kari Mosley presenting the Committee of Intergovernmental and Educational Affairs."
"The bill, having received a leading part of the votes, is passed.",i,"Aye Mr Wilson, Aye Mr LaValle.","President, Aye Eight ayes.","finally And finally, Councilman Kari Mosley presenting the Committee of Intergovernmental and Educational Affairs.","Thank you, Mr President."
"finally And finally, Councilman Kari Mosley presenting the Committee of Intergovernmental and Educational Affairs.",b,"President, Aye Eight ayes.","The bill, having received a leading part of the votes, is passed.","Thank you, Mr President.","Thank you, Councilman Kari Mosley."
"Thank you, Mr President.",b,"The bill, having received a leading part of the votes, is passed.","finally And finally, Councilman Kari Mosley presenting the Committee of Intergovernmental and Educational Affairs.","Thank you, Councilman Kari Mosley.","presents Bill 1680 reporting on the implementation of the National Education Act, which is the first in the United States to have a national education policy governing the entire country."
"Thank you, Councilman Kari Mosley.",i,"finally And finally, Councilman Kari Mosley presenting the Committee of Intergovernmental and Educational Affairs.","Thank you, Mr President.","presents Bill 1680 reporting on the implementation of the National Education Act, which is the first in the United States to have a national education policy governing the entire country.",This agenda would be respected by the Committee for Support of the Committee on Intergovernmental and educational affairs for March 26- 2025 with an affirmative recommendation.
"presents Bill 1680 reporting on the implementation of the National Education Act, which is the first in the United States to have a national education policy governing the entire country.",b,"Thank you, Mr President.","Thank you, Councilman Kari Mosley.",This agenda would be respected by the Committee for Support of the Committee on Intergovernmental and educational affairs for March 26- 2025 with an affirmative recommendation.,"bill 1636 resolution authorizing a cooperation agreement or agreements providing for the transfer of funds not to exceed 125,000 to the City of Pittsburgh Equipment Leasing Authority for the purchase of vehicles for the Department of Public Works Bureau of Environmental Services."
This agenda would be respected by the Committee for Support of the Committee on Intergovernmental and educational affairs for March 26- 2025 with an affirmative recommendation.,i,"Thank you, Councilman Kari Mosley.","presents Bill 1680 reporting on the implementation of the National Education Act, which is the first in the United States to have a national education policy governing the entire country.","bill 1636 resolution authorizing a cooperation agreement or agreements providing for the transfer of funds not to exceed 125,000 to the City of Pittsburgh Equipment Leasing Authority for the purchase of vehicles for the Department of Public Works Bureau of Environmental Services.",This expenditure is associated with a correction to the Pay As Credo contract of 16.
"bill 1636 resolution authorizing a cooperation agreement or agreements providing for the transfer of funds not to exceed 125,000 to the City of Pittsburgh Equipment Leasing Authority for the purchase of vehicles for the Department of Public Works Bureau of Environmental Services.",b,"presents Bill 1680 reporting on the implementation of the National Education Act, which is the first in the United States to have a national education policy governing the entire country.",This agenda would be respected by the Committee for Support of the Committee on Intergovernmental and educational affairs for March 26- 2025 with an affirmative recommendation.,This expenditure is associated with a correction to the Pay As Credo contract of 16.,36 sixteen-year under the with grant funds that the city will receive from the Pennsylvania Department of Environmental Protection from the 902 Municipal Recycling Grant.
This expenditure is associated with a correction to the Pay As Credo contract of 16.,i,This agenda would be respected by the Committee for Support of the Committee on Intergovernmental and educational affairs for March 26- 2025 with an affirmative recommendation.,"bill 1636 resolution authorizing a cooperation agreement or agreements providing for the transfer of funds not to exceed 125,000 to the City of Pittsburgh Equipment Leasing Authority for the purchase of vehicles for the Department of Public Works Bureau of Environmental Services.",36 sixteen-year under the with grant funds that the city will receive from the Pennsylvania Department of Environmental Protection from the 902 Municipal Recycling Grant.,"Bill 1637 resolution authorizing the issuance of a warrant payable in favor of the Chartiers Valley District Flood Control Authority to renew the City of Pittsburgh's membership into the CVDFCA and pay fees for the year 2025 in an amount not to exceed 17,204 over one year."
36 sixteen-year under the with grant funds that the city will receive from the Pennsylvania Department of Environmental Protection from the 902 Municipal Recycling Grant.,i,"bill 1636 resolution authorizing a cooperation agreement or agreements providing for the transfer of funds not to exceed 125,000 to the City of Pittsburgh Equipment Leasing Authority for the purchase of vehicles for the Department of Public Works Bureau of Environmental Services.",This expenditure is associated with a correction to the Pay As Credo contract of 16.,"Bill 1637 resolution authorizing the issuance of a warrant payable in favor of the Chartiers Valley District Flood Control Authority to renew the City of Pittsburgh's membership into the CVDFCA and pay fees for the year 2025 in an amount not to exceed 17,204 over one year.","And Bill 1638 resolution authorizing the Mayor and the Director of the Department of Public Works and or the Director of the Department of Mobility and Infrastructure, on behalf of the City of Pittsburgh, to enter into a cooperation agreement with the Pittsburgh Downtown Partnership and the City of Pittsburgh to renew the City of Pittsburgh's membership into the CVDFCA and pay fees for the year 2025 in an amount not to exceed 17,204 over one year."
"Bill 1637 resolution authorizing the issuance of a warrant payable in favor of the Chartiers Valley District Flood Control Authority to renew the City of Pittsburgh's membership into the CVDFCA and pay fees for the year 2025 in an amount not to exceed 17,204 over one year.",b,This expenditure is associated with a correction to the Pay As Credo contract of 16.,36 sixteen-year under the with grant funds that the city will receive from the Pennsylvania Department of Environmental Protection from the 902 Municipal Recycling Grant.,"And Bill 1638 resolution authorizing the Mayor and the Director of the Department of Public Works and or the Director of the Department of Mobility and Infrastructure, on behalf of the City of Pittsburgh, to enter into a cooperation agreement with the Pittsburgh Downtown Partnership and the City of Pittsburgh to renew the City of Pittsburgh's membership into the CVDFCA and pay fees for the year 2025 in an amount not to exceed 17,204 over one year.",And Bill 1638 resolution authorizing the Mayor and the Director of the Department of Public Works and or the Director of the Department of Public Works providing for assignment of ownership and maintenance of certain infrastructure to be constructed by the Pittsburgh Downtown Partnership for the improvement of Market Square at no cost to the City.
"And Bill 1638 resolution authorizing the Mayor and the Director of the Department of Public Works and or the Director of the Department of Mobility and Infrastructure, on behalf of the City of Pittsburgh, to enter into a cooperation agreement with the Pittsburgh Downtown Partnership and the City of Pittsburgh to renew the City of Pittsburgh's membership into the CVDFCA and pay fees for the year 2025 in an amount not to exceed 17,204 over one year.",i,36 sixteen-year under the with grant funds that the city will receive from the Pennsylvania Department of Environmental Protection from the 902 Municipal Recycling Grant.,"Bill 1637 resolution authorizing the issuance of a warrant payable in favor of the Chartiers Valley District Flood Control Authority to renew the City of Pittsburgh's membership into the CVDFCA and pay fees for the year 2025 in an amount not to exceed 17,204 over one year.",And Bill 1638 resolution authorizing the Mayor and the Director of the Department of Public Works and or the Director of the Department of Public Works providing for assignment of ownership and maintenance of certain infrastructure to be constructed by the Pittsburgh Downtown Partnership for the improvement of Market Square at no cost to the City.,You've heard the reading and it's out of the bill.
And Bill 1638 resolution authorizing the Mayor and the Director of the Department of Public Works and or the Director of the Department of Public Works providing for assignment of ownership and maintenance of certain infrastructure to be constructed by the Pittsburgh Downtown Partnership for the improvement of Market Square at no cost to the City.,i,"Bill 1637 resolution authorizing the issuance of a warrant payable in favor of the Chartiers Valley District Flood Control Authority to renew the City of Pittsburgh's membership into the CVDFCA and pay fees for the year 2025 in an amount not to exceed 17,204 over one year.","And Bill 1638 resolution authorizing the Mayor and the Director of the Department of Public Works and or the Director of the Department of Mobility and Infrastructure, on behalf of the City of Pittsburgh, to enter into a cooperation agreement with the Pittsburgh Downtown Partnership and the City of Pittsburgh to renew the City of Pittsburgh's membership into the CVDFCA and pay fees for the year 2025 in an amount not to exceed 17,204 over one year.",You've heard the reading and it's out of the bill.,Is there any discussion?
